,,,,,,,,,,,,,,,410.0,S,URBANO,77.0,KCA,7208.0,8039.0,COVISAN 9 (Salón Comunal),Instrucciones del Año XIII esq. Vizconde de Mauá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,410.0,S,URBANO,78.0,KCA,8040.0,8815.0,Escuela No. 57,Vizconde de Mauá esq. Instrucciones del año XIII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,85.0,KCA,12794.0,13393.0,Jardín de Infantes No. 103,"Andresito entre Zorrilla de San Martín y Vizcondede Mauá",410.0,S,URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,86.0,KCA,13394.0,13973.0,"Salón Comunal Coop. 4 deNoviembre","Vizconde de Mauá esq. Alfredo Vázquez Varela(No.7)",410.0,S,URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,87.0,KCA,13974.0,14535.0,COVIANUT,Purificación esq. Zorrilla,410.0,S,URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,88.0,KCA,14536.0,15068.0,Barrio I32,Zorrilla esa. Purificación,410.0,S,URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,89.0,KCA,15069.0,15577.0,Liceo No. 3,Zorrilla de San Martín 1762,410.0,S,URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,90.0,KCA,15578.0,16102.0,Liceo No. 3,Zorrilla de San Martín 1762,410.0,S,URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,91.0,KCA,16103.0,16607.0,Liceo No. 3,Zorrilla de San Martín 1762,410.0,S,URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,92.0,KCA,16608.0,17099.0,Liceo No. 3,Zorrilla de San Martín 1762,410.0,S,URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,93.0,KCA,17100.0,17569.0,COVISAN 8 (Salón Comunal),Andresito N 1161 esq. Zorrilla de San Martín,410.0,S,URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,94.0,KCA,17570.0,18048.0,Salón Comunal Barrio I40,Paralela a Dr. Roldán y Purificación,410.0,S,URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
