Unnamed: 0,Serie,Desde,Hasta,Localidad,Local,Habilitados,Accesible,Urb/Rur,file
75,HAB,66081,66493,Rivera Chico,"Escuela N°5, Avda. Cuaró y Enrique Cottens",400,S,U,planes_circuitales\Rivera.pdf
76,HAB,66494,66910,Rivera Chico,"Escuela N°5, Avda. Cuaró y Enrique Cottens",400,S,U,planes_circuitales\Rivera.pdf
77,HAB,66911,67371,Rivera Chico,"Escuela N°5, Avda. Cuaró y Enrique Cottens",401,S,U,planes_circuitales\Rivera.pdf
78,HBA,1,9138,Pueblo Nuevo,"Escuela N°9-Salón 1,  Avda. Líbano N°563",410,S,U,planes_circuitales\Rivera.pdf
79,HBA,9139,11491,Pueblo Nuevo,"Escuela N°9-Salón 2,  Avda. Líbano N°563",410,S,U,planes_circuitales\Rivera.pdf
80,HBA,11492,13132,Pueblo Nuevo,"Escuela N°9-Salón 3,  Avda. Líbano N°563",410,S,U,planes_circuitales\Rivera.pdf
81,HBA,13133,14415,Pueblo Nuevo,"Escuela N°9-Salón 4, M.Vera y Avda. Lïbano",410,S,U,planes_circuitales\Rivera.pdf
82,HBA,14416,15748,Pueblo Nuevo,"Escuela N°9-Salón 5, M.Vera y Avda. Lïbano",410,S,U,planes_circuitales\Rivera.pdf
83,HBA,15749,17121,Barrio Siñeriz,"Escuela N°113, Dionicio Chiossoni N°401",410,N,U,planes_circuitales\Rivera.pdf
84,HBA,17122,18511,Barrio Siñeriz,"Escuela N°113, Dionicio Chiossoni N°401",410,N,U,planes_circuitales\Rivera.pdf
85,HBA,18512,19967,Barrio Siñeriz,"Escuela N°113, Dionicio Chiossoni N°401",410,N,U,planes_circuitales\Rivera.pdf
86,HBA,19968,21005,Barrio Siñeriz,"Escuela N°113, Dionicio Chiossoni N°401",410,N,U,planes_circuitales\Rivera.pdf
87,HBA,21006,22145,Barrio Siñeriz,"Escuela N°113, Dionicio Chiossoni N°401",410,N,U,planes_circuitales\Rivera.pdf
88,HBA,22146,23398,Barrio Siñeriz,"CAIF El Ombú, Yamandú N°175",410,S,U,planes_circuitales\Rivera.pdf
89,HBA,23399,24487,Barrio Siñeriz,"CAIF El Ombú, Yamandú N°175",410,S,U,planes_circuitales\Rivera.pdf
HBA,24488,25394,Barrio Siñeriz,"CAIF El Ombú, Yamandú N°175",410,S,U,,planes_circuitales\Rivera.pdf
91,HBA,25395,26267,erro Caqueir,Escuela N°86 T. Completo-E.Pachiarotti N°793,410,S,U,planes_circuitales\Rivera.pdf
92,HBA,26268,27160,erro Caqueir,Escuela N°86 T. Completo-E.Pachiarotti N°793,410,S,U,planes_circuitales\Rivera.pdf
93,HBA,27161,27970,erro Caqueir,Escuela N°86 T. Completo-E.Pachiarotti N°793,410,S,U,planes_circuitales\Rivera.pdf
94,HBA,27971,28697,erro Caqueir,Escuela N°86 T. Completo-E.Pachiarotti N°793,410,S,U,planes_circuitales\Rivera.pdf
95,HBA,28698,29456,erro Caqueir,Escuela N°86 T. Completo-E.Pachiarotti N°793,410,S,U,planes_circuitales\Rivera.pdf
96,HBA,29457,30116,Don Bosco,"Escuela N°109, Reyles N°1548",410,S,U,planes_circuitales\Rivera.pdf
97,HBA,30117,30719,Don Bosco,"Escuela N°109, Reyles N°1548",410,S,U,planes_circuitales\Rivera.pdf
98,HBA,30720,31242,Don Bosco,"Liceo N°3, Tranqueras N°853",410,S,U,planes_circuitales\Rivera.pdf
99,HBA,31243,31777,Don Bosco,"Liceo N°3, Tranqueras N°853",410,S,U,planes_circuitales\Rivera.pdf
100,HBA,31778,32304,Don Bosco,"Liceo N°3, Tranqueras N°853",410,S,U,planes_circuitales\Rivera.pdf
101,HBA,32305,32801,Don Bosco,"Liceo N°3, Tranqueras N°853",410,S,U,planes_circuitales\Rivera.pdf
102,HBA,32802,33262,Don Bosco,"Liceo N°7 P/B-Biblioteca,  Diego Lamas N°1460",400,S,U,planes_circuitales\Rivera.pdf
103,HBA,33263,33725,Don Bosco,"Liceo N°7 P/B,  Diego Lamas N°1460",400,S,U,planes_circuitales\Rivera.pdf
104,HBA,33726,34183,Don Bosco,"Liceo N°7 P/B,  Diego Lamas N°1460",400,S,U,planes_circuitales\Rivera.pdf
105,HBA,34184,34621,Don Bosco,"Liceo N°7 P/A,  Diego Lamas N°1460",400,S,U,planes_circuitales\Rivera.pdf
106,HBA,34622,35051,Don Bosco,"Liceo N°7 P/A,  Diego Lamas N°1460",400,S,U,planes_circuitales\Rivera.pdf
107,HBA,35052,35469,Don Bosco,"Liceo N°7 P/A,  Diego Lamas N°1460",400,S,U,planes_circuitales\Rivera.pdf
108,HBA,35470,35930,Don Bosco,"Liceo N°7 P/A,  Diego Lamas N°1460",406,S,U,planes_circuitales\Rivera.pdf
109,HBB,1,1849,Mandubí,"Escuela N°128, Francisco Serralta N°2105",395,S,U,planes_circuitales\Rivera.pdf
110,HBB,1850,2745,Mandubí,"Escuela N°128, Francisco Serralta N°2105",395,S,U,planes_circuitales\Rivera.pdf
111,HBB,2746,3623,Mandubí,"Escuela N°128, Francisco Serralta N°2105",395,S,U,planes_circuitales\Rivera.pdf
112,HBB,3624,4353,Mandubí,"Escuela N°128, Francisco Serralta N°2105",395,S,U,planes_circuitales\Rivera.pdf
113,HBB,4354,5011,Mandubí,"Escuela N°128, Francisco Serralta N°2105",395,S,U,planes_circuitales\Rivera.pdf
114,HBB,5012,5664,Mandubí,"Escuela N°128, Francisco Serralta N°2105",395,S,U,planes_circuitales\Rivera.pdf
115,HBB,5665,6229,Mandubí,"Escuela N°153 T.Completo, Martín Pays s/n",395,S,U,planes_circuitales\Rivera.pdf
116,HBB,6230,6752,Mandubí,"Escuela N°153 T.Completo, Martín Pays s/n",395,S,U,planes_circuitales\Rivera.pdf
117,HBB,6753,7228,Mandubí,"Escuela N°153 T.Completo, Martín Pays s/n",395,S,U,planes_circuitales\Rivera.pdf
118,HBB,7229,7726,Mandubí,"Escuela N°153 T.Completo, Martín Pays s/n",395,S,U,planes_circuitales\Rivera.pdf
119,HBB,7727,8252,La Pedrera,"Escuela N°94, Guido Machado Brum N°2389",395,S,U,planes_circuitales\Rivera.pdf
HBB,8253,8716,La Pedrera,"Escuela N°94, Guido Machado Brum N°2389",395,S,U,,planes_circuitales\Rivera.pdf
121,HBB,8717,9187,La Pedrera,"Escuela N°94, Guido Machado Brum N°2389",395,S,U,planes_circuitales\Rivera.pdf
122,HBB,9188,9658,La Pedrera,"Escuela N°94, Guido Machado Brum N°2389",395,S,U,planes_circuitales\Rivera.pdf
123,HBB,9659,10113,La Pedrera,"Campus CUR-Salón A, Guido Machado Brum Km 496",395,S,U,planes_circuitales\Rivera.pdf
124,HBB,10114,10563,La Pedrera,"Campus CUR-Salón B, Guido Machado Brum Km 496",395,S,U,planes_circuitales\Rivera.pdf
125,HBB,10564,10994,La Pedrera,"Campus CUR-Salón C, Guido Machado Brum Km 496",395,S,U,planes_circuitales\Rivera.pdf
126,HBB,10995,11401,La Pedrera,"Campus CUR-Salón D, Guido Machado Brum Km 496",395,S,U,planes_circuitales\Rivera.pdf
127,HBB,11402,11842,La Pedrera,"Campus CUR-Salón F, Guido Machado Brum Km 496",401,S,U,planes_circuitales\Rivera.pdf
128,HBC,1,1652,agos del Nort,"Escuela N°150, José P.Varela s/n",220,S,U,planes_circuitales\Rivera.pdf
129,HBC,1653,1912,agos del Nort,"Escuela N°150, José P.Varela s/n",220,S,U,planes_circuitales\Rivera.pdf
130,HBD,1,2579,Santa Isabel,"Escuela N°96, Carlos Vaz Ferreria N°202",410,S,U,planes_circuitales\Rivera.pdf
131,HBD,2580,3528,Santa Isabel,"Escuela N°96, Carlos Vaz Ferreria N°202",410,S,U,planes_circuitales\Rivera.pdf
132,HBD,3529,4402,Santa Isabel,"Liceo N°4- Salón 1 P/A, Luis María Techera s/n",410,N,U,planes_circuitales\Rivera.pdf
133,HBD,4403,5085,Santa Isabel,"Liceo N°4- Salón 3 P/A, Luis María Techera s/n",410,N,U,planes_circuitales\Rivera.pdf
134,HBD,5086,5732,Santa Isabel,"Liceo N°4- Salón 5 P/A, Luis María Techera s/n",400,N,U,planes_circuitales\Rivera.pdf
135,HBD,5733,6301,Santa Isabel,"Liceo N°4- Salón 8 P/B, Luis María Techera s/n",400,S,U,planes_circuitales\Rivera.pdf
136,HBD,6302,6796,Santa Isabel,"Liceo N°4- Salón 10 P/B, Luis María Techera s/n",400,S,U,planes_circuitales\Rivera.pdf
137,HBD,6797,7287,Santa Isabel,"Liceo N°4- Salón 11 P/B, Luis María Techera s/n",400,S,U,planes_circuitales\Rivera.pdf
138,HBD,7288,7777,Santa Isabel,"Escuela N°64 -T. Completo, Telmo Eula y M.Calleros",400,S,U,planes_circuitales\Rivera.pdf
139,HBD,7778,8258,Santa Isabel,"Escuela N°64 -T. Completo, Telmo Eula y M.Calleros",400,S,U,planes_circuitales\Rivera.pdf
140,HBD,8259,8714,Santa Isabel,"Escuela N°64 -T. Completo, Telmo Eula y M.Calleros",400,S,U,planes_circuitales\Rivera.pdf
141,HBD,8715,9169,Santa Isabel,"Escuela N°64 -T. Completo, Telmo Eula y M.Calleros",400,S,U,planes_circuitales\Rivera.pdf
