Circuito,Serie,Desde,Hasta,Localidad,Local,Habilitados,Accesible,Urb/Rur,Unnamed: 0,MAA,57868,58530,Mercedes,Club El Remanso - Cassinoni y Paysandú,400,N,Urbano,77468,77946,"Escuela No 104, Giménez 797",S,MBA,2635,3149,Villa Soriano,"Escuela No 6, Villa Soriano",289,Rural,MCA,31497,32003,Dolores,"Escuela No 2, Puig 1552",410,MED,1,920,San Martín,"Escuela No 34, San Martin",65,MGA,532,Arroyo Corto,"Escuela No 74, Arroyo Corto",77,file
,,,,,,,,,134.0,,,,,,,N,Urbano,,,,,,,,,,,,MCA,33395.0,33848.0,Dolores,"Club Peñarol,  18 de Julio y Gomensoro",400.0,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,135.0,,,,,,,N,Urbano,,,,,,,,,,,,MCA,33849.0,34295.0,Dolores,"UTU, Cheveste 1207",400.0,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,136.0,,,,,,,N,Urbano,,,,,,,,,,,,MCA,34296.0,34778.0,Dolores,"UTU, Cheveste 1207",400.0,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,137.0,,,,,,,N,Urbano,,,,,,,,,,,,MCA,34779.0,35216.0,Dolores,"UTU, Cheveste 1207",400.0,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,138.0,,,,,,,N,Urbano,,,,,,,,,,,,MCA,35217.0,35649.0,Dolores,"Escuela No 40, Asencio y Agraciada",400.0,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,139.0,,,,,,,N,Urbano,,,,,,,,,,,,MCA,35650.0,36066.0,Dolores,"Escuela No 40, Asencio y Agraciada",400.0,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,140.0,,,,,,,N,Urbano,,,,,,,,,,,,MCA,36067.0,36496.0,Dolores,"Jardin No 116, 18 de Julio 1747",400.0,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,141.0,,,,,,,N,Urbano,,,,,,,,,,,,MCA,36497.0,36922.0,Dolores,"AMDOL, Puig 1438",400.0,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,142.0,,,,,,,N,Urbano,,,,,,,,,,,,MCA,36923.0,37355.0,Dolores,"Municipio, Artigas 1157",400.0,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,143.0,,,,,,,N,Urbano,,,,,,,,,,,,MCA,37356.0,37765.0,Dolores,"Escuela No 112, Asencio 2201",400.0,,,,,,,,,,,,planes_circuitales\Soriano.pdf
,,,,,,,,,144.0,,,,,,,N,Urbano,,,,,,,,,,,,MCA,37766.0,38175.0,Dolores,"Escuela No 112, Asencio 2201",400.0,,,,,,,,,,,,planes_circuitales\Soriano.pdf
